HPIrank	Country	ISO	Continent	Pop_thousands	LifeExpectancy	Ladderoflife EcoFootprint HPI	Biocapacityforyear GDPpc
66	Liberia	LBR	5	4937.4	64.1	5.12	1.07	46.0	1.56	1428
67	Chile	CHL	1	18952.0	80.2	5.94	4.44	45.6	1.56	25131
68	Singapore	SGP	8	5804.3	83.6	6.38	5.60	45.5	1.56	97341
69	Hungary	HUN	7	9684.7	76.9	6.00	4.07	45.4	1.56	32640
70	Denmark	DNK	3	5771.9	80.9	7.69	7.05	45.3	1.56	57862
71	Iraq	IRQ	4	39309.8	70.6	4.84	1.74	45.3	1.56	10881
72	Kenya	KEN	5	52574.0	66.7	4.62	0.99	45.2	1.56	4330
73	Pakistan	PAK	6	216565.3	67.3	4.44	0.87	45.1	1.56	4690
74	Poland	POL	7	37887.8	78.7	6.24	4.77	45.0	1.56	33226
75	Bolivia	BOL	1	11513.1	71.5	5.67	2.94	45.0	1.56	8724
76	Uganda	UGA	5	44269.6	63.4	4.95	0.99	44.8	1.56	2187
77	Yemen	YEM	4	29161.9	66.1	4.20	0.52	44.6	1.56	..
78	Georgia	GEO	7	3996.8	73.8	4.89	2.43	44.3	1.56	14993
79	Mozambique	MOZ	5	30366.0	60.9	4.93	0.72	44.2	1.56	1281
80	Madagascar	MDG	5	26969.3	67.0	4.34	0.87	44.2	1.56	1647
81	Tunisia	TUN	4	11694.7	76.7	4.32	2.12	43.9	1.56	10756
82	North Macedonia	MKD	7	2083.5	75.8	5.02	2.95	43.9	1.56	16660
83	Jordan	JOR	4	10101.7	74.5	4.45	2.03	43.9	1.56	10071
84	Iran	IRN	4	82913.9	76.7	5.01	3.12	43.6	1.56	12389
85	Malta	MLT	3	440.4	82.5	6.73	6.50	43.5	1.56	43585
86	Egypt	EGY	4	100388.1	72.0	4.33	1.67	43.2	1.56	11763
87	Taiwan	TWN	8	23773.9	80.5	6.54	5.97	43.2	1.56	#N/A
88	Australia	AUS	2	25203.2	83.4	7.23	7.53	43.1	1.56	49609
89	Belarus	BLR	7	9452.4	74.8	5.82	4.11	42.9	1.56	19249
90	Laos	LAO	8	7169.5	67.9	5.20	2.28	42.8	1.56	7826
91	Libya	LBY	4	6777.5	72.9	5.33	3.21	42.7	1.56	15174
92	Belgium	BEL	3	11539.3	81.6	6.77	6.69	42.5	1.56	51831
93	Comoros	COM	5	850.9	64.3	4.61	1.12	42.4	1.56	3060
94	China	CHN	8	1433783.7	76.9	5.14	3.74	41.9	1.56	16092
95	Malaysia	MYS	8	31949.8	76.2	5.43	4.07	41.7	1.56	28364
96	Ethiopia	ETH	5	112078.7	66.6	4.10	0.94	41.7	1.56	2221
97	Saudi Arabia	SAU	4	34268.5	75.1	6.56	5.52	41.6	1.56	46962
98	Burkina Faso	BFA	5	20321.4	61.6	4.74	1.06	41.5	1.56	2178
99	Benin	BEN	5	11801.2	61.8	4.98	1.39	41.4	1.56	3287
100	Niger	NER	5	23310.7	62.4	5.00	1.51	41.4	1.56	1225
101	Montenegro	MNE	7	628.0	76.9	5.39	4.22	41.3	1.56	21603
102	Turkey	TUR	4	83429.6	77.7	4.87	3.61	41.3	1.56	28289
103	Ukraine	UKR	7	43993.6	72.1	4.70	2.64	40.9	1.56	12810
104	Congo (Kinshasa)	COD	5	86790.6	60.7	4.42	0.73	40.5	1.56	1098
