HPIRank,Country,Region,AverageLifeExpectancy,AverageWellbeing,HappyLifeYears,Footprint,InequalityofOutcomes,Inequality-adjustedLifeExpectancy,Inequality-adjustedWellbeing,HappyPlanetIndex,GDPPC,Population
12,Norway,Europe,81.281,7.7,57.0535259,4.98,0.068553755,78.60023,7.416751749,36.82705238,101563.7027,5018573
106,Oman,Middle East and North Africa,76.3,6.9,44.46757542,7.52,0.134064744,70.94494224,6.425953987,21.13942636,21533.8076,3545192
36,Pakistan,Asia Pacific,65.704,5.1,19.52654289,0.79,0.396460254,44.12995411,4.582836735,31.50010802,1266.380758,177392252
22,Palestine,Middle East and North Africa,72.552,4.6,24.45579116,1.189658103,0.237578859,62.58536536,4.065644103,34.47194096,2782.905026,4046901
6,Panama,Americas,77.215,6.9,42.07666467,2.79,0.189978978,68.32564728,6.316308037,39.50257722,10138.52113,3743761
91,Paraguay,Americas,72.638,5.8,31.75860552,4.16,0.223908185,59.35754012,5.508445795,23.32622279,3858.036492,6379162
21,Peru,Americas,74.089,5.8,32.85649044,2.28,0.212018695,63.54400661,5.328721782,34.55546153,6388.845098,30158768
20,Philippines,Asia Pacific,67.949,5,24.13557084,1.1,0.263115517,56.92403533,4.398016009,34.99109367,2604.655997,96017322
62,Poland,Post-communist,76.926,5.9,39.17492046,4.44,0.111454728,72.94294301,5.528679836,27.47118942,13142.04599,38063164
79,Portugal,Europe,80.33,4.99,32.31533737,3.88,0.163386226,77.19162016,4.344433631,24.84739373,20577.40264,10514844
115,Republic of Congo,Sub Saharan Africa,60.951,3.9,13.58487981,1.29,0.400589723,41.9877439,3.393494014,18.81271244,3191.164299,4286188
55,Romania,Post-communist,74.327,5.2,30.06118069,2.71,0.194374933,68.09417923,4.57270231,28.80149854,8577.289214,20058035
116,Russia,Post-communist,69.519,5.6,31.7326434,5.69,0.15916384,63.37341186,5.16530338,18.71017812,14078.83057,143201676
111,Rwanda,Sub Saharan Africa,63.056,3.3,12.36608509,0.87,0.372088674,44.27551153,2.951039937,19.62837798,667.4145823,10817350
101,Senegal,Sub Saharan Africa,65.429,3.7,15.488388,1.21,0.328184957,49.0590337,3.315146624,21.89604571,1019.27223,13780108
52,Serbia,Post-communist,74.495,5.2,30.25787241,2.7,0.190906214,68.6039278,4.568570724,29.04831258,5659.380204,7199077
133,Sierra Leone,Sub Saharan Africa,49.758,4.5,10.77930556,1.24,0.498696145,28.18260052,3.982863378,15.26464974,618.9472529,6043157
59,Slovakia,Post-communist,75.872,5.9,37.8917422,4.06,0.128154772,71.87107927,5.430236842,28.22889686,17207.27921,5407579
82,Slovenia,Post-communist,79.953,6.1,42.56742433,5.81,0.102227574,77.070221,5.681254664,24.63884037,22477.59756,2057159
